"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:17:00 AM","2019-02-14"," 3:15:00 PM","","","","","","","14.87","-55.00"
"1.1","2019-02-14"," 9:17:00 AM","2019-02-14"," 9:19:00 AM","CE","10800","Buy","25","16.75","13.40","","-83.75"
"1.2","2019-02-14"," 9:17:00 AM","2019-02-14"," 3:15:00 PM","CE","10900","Sell","25","1.20","0.05","","28.75"
"2","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:50:00 AM","","","","","","","16.83","-98.75"
"2.1","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:50:00 AM","CE","10750","Buy","25","18.80","15.05","","-93.75"
"2.2","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:23:00 AM","CE","10850","Sell","25","0.95","1.15","","-5.00"
"3","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:23:00 AM","","","","","","","18.00","-173.75"
"3.1","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:23:00 AM","CE","10850","Buy","25","31.70","25.35","","-158.75"
"3.2","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:19:00 AM","CE","10950","Sell","25","3.00","3.60","","-15.00"
"4","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:15:00 PM","","","","","","","15.32","-61.25"
"4.1","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:24:00 AM","CE","11050","Buy","25","18.00","14.40","","-90.00"
"4.2","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:15:00 PM","CE","11150","Sell","25","1.20","0.05","","28.75"
"5","2019-03-14"," 9:17:00 AM","2019-03-14"," 10:11:00 AM","","","","","","","15.36","-128.75"
"5.1","2019-03-14"," 9:17:00 AM","2019-03-14"," 10:11:00 AM","CE","11350","Buy","25","24.25","19.40","","-121.25"
"5.2","2019-03-14"," 9:17:00 AM","2019-03-14"," 9:22:00 AM","CE","11450","Sell","25","1.50","1.80","","-7.50"
"6","2019-03-20"," 9:17:00 AM","2019-03-20"," 3:15:00 PM","","","","","","","16.24","-63.75"
"6.1","2019-03-20"," 9:17:00 AM","2019-03-20"," 9:21:00 AM","CE","11550","Buy","25","14.70","11.75","","-73.75"
