"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:17:00 AM","2019-02-14"," 2:07:00 PM","","","","","","","14.87","-251.25"
"1.1","2019-02-14"," 9:17:00 AM","2019-02-14"," 9:19:00 AM","CE","10800","Buy","25","16.75","13.40","","-83.75"
"1.2","2019-02-14"," 9:17:00 AM","2019-02-14"," 2:07:00 PM","PE","10800","Buy","25","33.55","26.85","","-167.50"
"2","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:50:00 AM","","","","","","","16.83","-262.50"
"2.1","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:50:00 AM","CE","10750","Buy","25","18.80","15.05","","-93.75"
"2.2","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:23:00 AM","PE","10750","Buy","25","33.80","27.05","","-168.75"
"3","2019-02-28"," 9:17:00 AM","2019-02-28"," 10:47:00 AM","","","","","","","18.00","-345.00"
"3.1","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:23:00 AM","CE","10850","Buy","25","31.70","25.35","","-158.75"
"3.2","2019-02-28"," 9:17:00 AM","2019-02-28"," 10:47:00 AM","PE","10850","Buy","25","37.30","29.85","","-186.25"
"4","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:29:00 AM","","","","","","","15.32","-226.25"
"4.1","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:24:00 AM","CE","11050","Buy","25","18.00","14.40","","-90.00"
"4.2","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:29:00 AM","PE","11050","Buy","25","27.15","21.70","","-136.25"
"5","2019-03-14"," 9:17:00 AM","2019-03-14"," 10:11:00 AM","","","","","","","15.36","-213.75"
"5.1","2019-03-14"," 9:17:00 AM","2019-03-14"," 10:11:00 AM","CE","11350","Buy","25","24.25","19.40","","-121.25"
"5.2","2019-03-14"," 9:17:00 AM","2019-03-14"," 9:22:00 AM","PE","11350","Buy","25","18.60","14.90","","-92.50"
"6","2019-03-20"," 9:17:00 AM","2019-03-20"," 9:46:00 AM","","","","","","","16.24","-220.00"
"6.1","2019-03-20"," 9:17:00 AM","2019-03-20"," 9:21:00 AM","CE","11550","Buy","25","14.70","11.75","","-73.75"
"6.2","2019-03-20"," 9:17:00 AM","2019-03-20"," 9:46:00 AM","PE","11550","Buy","25","29.30","23.45","","-146.25"
"7","2019-03-28"," 9:17:00 AM","2019-03-28"," 3:15:00 PM","","","","","","","17.10","2107.50"
"7.1","2019-03-28"," 9:17:00 AM","2019-03-28"," 3:15:00 PM","CE","11450","Buy","25","23.80","113.05","","2231.25"
"7.2","2019-03-28"," 9:17:00 AM","2019-03-28"," 9:19:00 AM","PE","11450","Buy","25","24.80","19.85","","-123.75"
"8","2019-04-04"," 9:17:00 AM","2019-04-04"," 12:20:00 PM","","","","","","","19.09","-286.25"
"8.1","2019-04-04"," 9:17:00 AM","2019-04-04"," 9:24:00 AM","CE","11650","Buy","25","31.45","25.15","","-157.50"
"8.2","2019-04-04"," 9:17:00 AM","2019-04-04"," 12:20:00 PM","PE","11650","Buy","25","25.70","20.55","","-128.75"
"9","2019-04-11"," 9:17:00 AM","2019-04-11"," 9:22:00 AM","","","","","","","20.52","-238.75"
"9.1","2019-04-11"," 9:17:00 AM","2019-04-11"," 9:20:00 AM","CE","11600","Buy","25","17.75","14.20","","-88.75"
"9.2","2019-04-11"," 9:17:00 AM","2019-04-11"," 9:22:00 AM","PE","11600","Buy","25","29.95","23.95","","-150.00"
"10","2019-04-18"," 9:17:00 AM","2019-04-18"," 3:15:00 PM","","","","","","","22.45","462.50"
"10.1","2019-04-18"," 9:17:00 AM","2019-04-18"," 9:35:00 AM","CE","11800","Buy","25","27.00","21.60","","-135.00"
"10.2","2019-04-18"," 9:17:00 AM","2019-04-18"," 3:15:00 PM","PE","11800","Buy","25","13.35","37.25","","597.50"
"11","2019-04-25"," 9:17:00 AM","2019-04-25"," 1:35:00 PM","","","","","","","23.77","-231.25"
"11.1","2019-04-25"," 9:17:00 AM","2019-04-25"," 1:35:00 PM","CE","11700","Buy","25","30.30","24.25","","-151.25"
"11.2","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:20:00 AM","PE","11700","Buy","25","16.05","12.85","","-80.00"
"12","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:44:00 AM","","","","","","","22.08","-253.75"
"12.1","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:22:00 AM","CE","11750","Buy","25","12.90","10.30","","-65.00"
"12.2","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:44:00 AM","PE","11750","Buy","25","37.80","30.25","","-188.75"
"13","2019-05-09"," 9:17:00 AM","2019-05-09"," 10:46:00 AM","","","","","","","26.07","-300.00"
"13.1","2019-05-09"," 9:17:00 AM","2019-05-09"," 9:24:00 AM","CE","11300","Buy","25","44.50","35.60","","-222.50"
"13.2","2019-05-09"," 9:17:00 AM","2019-05-09"," 10:46:00 AM","PE","11300","Buy","25","15.50","12.40","","-77.50"
"14","2019-05-16"," 9:17:00 AM","2019-05-16"," 12:12:00 PM","","","","","","","27.72","-331.25"
"14.1","2019-05-16"," 9:17:00 AM","2019-05-16"," 9:21:00 AM","CE","11150","Buy","25","38.60","30.90","","-192.50"
"14.2","2019-05-16"," 9:17:00 AM","2019-05-16"," 12:12:00 PM","PE","11150","Buy","25","27.65","22.10","","-138.75"
"15","2019-05-23"," 9:17:00 AM","2019-05-23"," 9:31:00 AM","","","","","","","23.15","-1617.50"
