"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:17:00 AM","2019-02-14"," 2:07:00 PM","","","","","","","14.87","-236.25"
"1.1","2019-02-14"," 9:17:00 AM","2019-02-14"," 2:07:00 PM","PE","10800","Buy","25","33.55","26.85","","-167.50"
"1.2","2019-02-14"," 9:17:00 AM","2019-02-14"," 9:19:00 AM","PE","10750","Sell","25","13.65","16.40","","-68.75"
"2","2019-02-21"," 9:17:00 AM","2019-02-21"," 3:15:00 PM","","","","","","","16.83","172.50"
"2.1","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:23:00 AM","PE","10750","Buy","25","33.80","27.05","","-168.75"
"2.2","2019-02-21"," 9:17:00 AM","2019-02-21"," 3:15:00 PM","PE","10700","Sell","25","13.75","0.10","","341.25"
"3","2019-02-28"," 9:17:00 AM","2019-02-28"," 10:47:00 AM","","","","","","","18.00","-280.00"
"3.1","2019-02-28"," 9:17:00 AM","2019-02-28"," 10:47:00 AM","PE","10850","Buy","25","37.30","29.85","","-186.25"
"3.2","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:22:00 AM","PE","10800","Sell","25","18.65","22.40","","-93.75"
"4","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:15:00 PM","","","","","","","15.32","72.50"
"4.1","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:29:00 AM","PE","11050","Buy","25","27.15","21.70","","-136.25"
"4.2","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:15:00 PM","PE","11000","Sell","25","8.40","0.05","","208.75"
"5","2019-03-14"," 9:17:00 AM","2019-03-14"," 10:17:00 AM","","","","","","","15.36","-116.25"
"5.1","2019-03-14"," 9:17:00 AM","2019-03-14"," 9:22:00 AM","PE","11350","Buy","25","18.60","14.90","","-92.50"
"5.2","2019-03-14"," 9:17:00 AM","2019-03-14"," 10:17:00 AM","PE","11300","Sell","25","4.85","5.80","","-23.75"
"6","2019-03-20"," 9:17:00 AM","2019-03-20"," 3:15:00 PM","","","","","","","16.24","103.75"
"6.1","2019-03-20"," 9:17:00 AM","2019-03-20"," 9:46:00 AM","PE","11550","Buy","25","29.30","23.45","","-146.25"
"6.2","2019-03-20"," 9:17:00 AM","2019-03-20"," 3:15:00 PM","PE","11500","Sell","25","10.10","0.10","","250.00"
"7","2019-03-28"," 9:17:00 AM","2019-03-28"," 3:15:00 PM","","","","","","","17.10","107.50"
"7.1","2019-03-28"," 9:17:00 AM","2019-03-28"," 9:19:00 AM","PE","11450","Buy","25","24.80","19.85","","-123.75"
"7.2","2019-03-28"," 9:17:00 AM","2019-03-28"," 3:15:00 PM","PE","11400","Sell","25","9.30","0.05","","231.25"
"8","2019-04-04"," 9:17:00 AM","2019-04-04"," 12:20:00 PM","","","","","","","19.09","-181.25"
"8.1","2019-04-04"," 9:17:00 AM","2019-04-04"," 12:20:00 PM","PE","11650","Buy","25","25.70","20.55","","-128.75"
"8.2","2019-04-04"," 9:17:00 AM","2019-04-04"," 9:24:00 AM","PE","11600","Sell","25","10.45","12.55","","-52.50"
"9","2019-04-11"," 9:17:00 AM","2019-04-11"," 1:49:00 PM","","","","","","","20.52","-203.75"
"9.1","2019-04-11"," 9:17:00 AM","2019-04-11"," 9:22:00 AM","PE","11600","Buy","25","29.95","23.95","","-150.00"
"9.2","2019-04-11"," 9:17:00 AM","2019-04-11"," 1:49:00 PM","PE","11550","Sell","25","10.75","12.90","","-53.75"
"10","2019-04-18"," 9:17:00 AM","2019-04-18"," 3:15:00 PM","","","","","","","22.45","582.50"
"10.1","2019-04-18"," 9:17:00 AM","2019-04-18"," 3:15:00 PM","PE","11800","Buy","25","13.35","37.25","","597.50"
"10.2","2019-04-18"," 9:17:00 AM","2019-04-18"," 9:42:00 AM","PE","11750","Sell","25","3.00","3.60","","-15.00"
"11","2019-04-25"," 9:17:00 AM","2019-04-25"," 3:04:00 PM","","","","","","","23.77","-100.00"
"11.1","2019-04-25"," 9:17:00 AM","2019-04-25"," 9:20:00 AM","PE","11700","Buy","25","16.05","12.85","","-80.00"
"11.2","2019-04-25"," 9:17:00 AM","2019-04-25"," 3:04:00 PM","PE","11650","Sell","25","4.05","4.85","","-20.00"
"12","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:44:00 AM","","","","","","","22.08","-260.00"
"12.1","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:44:00 AM","PE","11750","Buy","25","37.80","30.25","","-188.75"
"12.2","2019-05-02"," 9:17:00 AM","2019-05-02"," 9:25:00 AM","PE","11700","Sell","25","14.25","17.10","","-71.25"
"13","2019-05-09"," 9:17:00 AM","2019-05-09"," 10:46:00 AM","","","","","","","26.07","-100.00"
