"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:17:00 AM","2019-02-14"," 1:57:00 PM","","","","","","","14.87","91.25"
"1.1","2019-02-14"," 9:17:00 AM","2019-02-14"," 9:18:00 AM","CE","11000","Buy","25","0.05","0.05","","0.00"
"1.2","2019-02-14"," 9:17:00 AM","2019-02-14"," 9:20:00 AM","PE","10600","Buy","25","0.30","0.25","","-1.25"
"1.3","2019-02-14"," 9:17:00 AM","2019-02-14"," 1:57:00 PM","CE","10900","Sell","25","1.20","0.10","","27.50"
"1.4","2019-02-14"," 9:17:00 AM","2019-02-14"," 1:57:00 PM","PE","10700","Sell","25","4.20","1.60","","65.00"
"2","2019-02-21"," 9:17:00 AM","2019-02-21"," 11:08:00 AM","","","","","","","16.83","75.00"
"2.1","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:18:00 AM","CE","10950","Buy","25","0.05","0.05","","0.00"
"2.2","2019-02-21"," 9:17:00 AM","2019-02-21"," 9:21:00 AM","PE","10550","Buy","25","0.45","0.35","","-2.50"
"2.3","2019-02-21"," 9:17:00 AM","2019-02-21"," 11:08:00 AM","CE","10850","Sell","25","0.95","0.50","","11.25"
"2.4","2019-02-21"," 9:17:00 AM","2019-02-21"," 11:08:00 AM","PE","10650","Sell","25","3.80","1.15","","66.25"
"3","2019-02-28"," 9:17:00 AM","2019-02-28"," 1:23:00 PM","","","","","","","18.00","143.75"
"3.1","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:18:00 AM","CE","11050","Buy","25","0.25","0.20","","-1.25"
"3.2","2019-02-28"," 9:17:00 AM","2019-02-28"," 9:53:00 AM","PE","10650","Buy","25","2.55","2.05","","-12.50"
"3.3","2019-02-28"," 9:17:00 AM","2019-02-28"," 1:23:00 PM","CE","10950","Sell","25","3.00","0.35","","66.25"
"3.4","2019-02-28"," 9:17:00 AM","2019-02-28"," 1:23:00 PM","PE","10750","Sell","25","8.00","4.35","","91.25"
"4","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:57:00 AM","","","","","","","15.32","35.00"
"4.1","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:19:00 AM","CE","11250","Buy","25","0.20","0.15","","-1.25"
"4.2","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:47:00 AM","PE","10850","Buy","25","0.45","0.35","","-2.50"
"4.3","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:57:00 AM","CE","11150","Sell","25","1.20","0.30","","22.50"
"4.4","2019-03-07"," 9:17:00 AM","2019-03-07"," 9:57:00 AM","PE","10950","Sell","25","1.45","0.80","","16.25"
"5","2019-03-14"," 9:17:00 AM","2019-03-14"," 12:57:00 PM","","","","","","","15.36","33.75"
"5.1","2019-03-14"," 9:17:00 AM","2019-03-14"," 9:18:00 AM","CE","11550","Buy","25","0.15","0.10","","-1.25"
